AlwaysSimulateESG,true
InflationAdjusted,false
InflationModel,1100701
PercentileInterpolation,PERCENTILE.EXC
Scenarios,5000
Threads,
effective_date,2016-12-31
name,ESGoutputs_July2016
output_file,c:\Foresight\Results\ESGoutputs_July2016.csv
threads,
time_step_sizes,
time_steps,30
version,1.5.1.7
build_notes,FSCE-308 - Fix spelling error in input parsing. Fri Feb 3 15:16:55 AUSEDT 2017 4446e8aae0193b05001f8989587ec87749ebea1d

Operator Key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,all
PERCENTILE::QAustralianListedProperty_TOTALRETURN::OAustralianListedProperty_TOTALRETURN_Percentiles::TOTALRETURN::%5,0.00000000000000000000,-0.14893444650227902000,-0.15062433648099019000,-0.14396362619337114000,-0.13901363511770815000,-0.13838300575588361000,-0.13137640943243398000,-0.14558232660703690000,-0.12513535874361431000,-0.12718765648266367000,-0.13666923334591580000,-0.11926025412427328000,-0.12461552176505443000,-0.12167008954344244000,-0.12864444564574390000,-0.11713797886849002000,-0.11845142487429451000,-0.12370414693281188000,-0.12624211774891494000,-0.13880437684914462000,-0.11085083180539070000,-0.12416744013747548000,-0.12368221888672852000,-0.11710560582460576000,-0.11987056533649419000,-0.10768831083004284000,-0.11166465395458920000,-0.12671847305390194000,-0.12101750645376606000,-0.11901705040665306000,-0.11830622123339390000,
PERCENTILE::QAustralianListedProperty_TOTALRETURN::OAustralianListedProperty_TOTALRETURN_Percentiles::TOTALRETURN::%50,0.00000000000000000000,0.05626015621831193000,0.06151092672363711600,0.06672740500373808300,0.07053262650264458000,0.07359062404452354500,0.07666300252649815800,0.07706373419584133800,0.08353623755874195500,0.08237323971393817300,0.08289527682241504300,0.08615421057151195800,0.08183326033626781000,0.08381620381064858200,0.08378217157131795400,0.08286075930520364600,0.08618200851693658100,0.08543414859760123400,0.08034594402200179200,0.08772171577047593900,0.08422713592927300000,0.08699319812683625800,0.08474506908774570600,0.08436291696384012900,0.08507829145491130300,0.08167958731865987400,0.08321202928484583400,0.08558767158696689600,0.08444041843921346000,0.08553485043559194700,0.08374321013381858000,
PERCENTILE::QAustralianListedProperty_TOTALRETURN::OAustralianListedProperty_TOTALRETURN_Percentiles::TOTALRETURN::%75,0.00000000000000000000,0.12966523787285289000,0.13557409066941073000,0.14297263703810298000,0.14619294564305496000,0.14947756352284208000,0.14961103160055278000,0.15367889950782038000,0.15777442197946456000,0.16030985910641243000,0.15994071162512913000,0.16421890028927044000,0.16044775923874388000,0.15895824693490973000,0.15895153363202730000,0.16123823846124374000,0.16059168765505782000,0.15968136369733726000,0.15881265462180577000,0.16315408691153860000,0.16394281188301374000,0.16334191931058861000,0.16058675034062792000,0.16350034011380155000,0.15971362074143908000,0.15724881490530029000,0.15980792145963518000,0.16376720000222317000,0.16192341777334235000,0.16240633570374979000,0.15994409039472118000,
PERCENTILE::QAustralianListedProperty_TOTALRETURN::OAustralianListedProperty_TOTALRETURN_Percentiles::TOTALRETURN::%95,0.00000000000000000000,0.24651258816409852000,0.25990678302086245000,0.26745847817202878000,0.26821009806572099000,0.27297546296784031000,0.27495785490508196000,0.28293261206308545000,0.28736375682723508000,0.28831405303296553000,0.28530763813747784000,0.28463350672767862000,0.28771284492502203000,0.28434107473337278000,0.29011119599512314000,0.28291181057898851000,0.28405183578837156000,0.28859482064746356000,0.28637036577545644000,0.28985804265799064000,0.29571586193526278000,0.28877298304082583000,0.28893893854504032000,0.29082709576752286000,0.29309623859745915000,0.28081181870278915000,0.28669594752374356000,0.28167037155861507000,0.29107081928472195000,0.28603361426755519000,0.28618686877649335000,
PERCENTILE::QAustralianListedProperty_TOTALRETURN::OAustralianListedProperty_TOTALRETURN_Percentiles::TOTALRETURN::%99,0.00000000000000000000,0.42764912588214626000,0.40893510454959930000,0.40387216106153134000,0.44716427970869882000,0.41796893311935801000,0.46588435297046271000,0.47604669597404442000,0.49478979339109513000,0.46109522042285050000,0.43270325519121072000,0.46745798548609285000,0.44373559528552536000,0.45522348560757553000,0.44791077786639671000,0.43535644688703529000,0.43240410311382371000,0.42939236407336873000,0.45583643948332497000,0.42087255041864452000,0.48315153194324156000,0.42145379200167049000,0.43560679396703822000,0.46297986064151525000,0.46932643915371325000,0.43792388750375566000,0.46230748047555892000,0.40858428452101847000,0.45026651210354979000,0.41662226822046072000,0.42627957163937752000,
PERCENTILE::QCPI_RATE::OCPI_RATE_Percentiles::RATE::%1,1.00000000000000000000,-0.01177797290941213500,-0.01736515807250436600,-0.02063158230737581500,-0.02091167258299834700,-0.02188581458357900500,-0.02029957923942180000,-0.02062061180489659100,-0.02209818644473611800,-0.02183814386117521900,-0.02166996323439787000,-0.02154186152473125400,-0.02113131674423797100,-0.02243156837326108400,-0.02142200248529812000,-0.01984612222237287800,-0.02098647360124306400,-0.02126823818873995600,-0.02077307987126650700,-0.02083618951587553500,-0.02039476614161978400,-0.02165182142937104700,-0.02048294091898808900,-0.02009250312683572400,-0.01979108752544640400,-0.02131908117506716900,-0.02091185408162346200,-0.02107542159238785100,-0.02101513335775345000,-0.02339102792086950700,-0.02271604547883352200,
PERCENTILE::QCPI_RATE::OCPI_RATE_Percentiles::RATE::%25,1.00000000000000000000,0.00736000276455056610,0.00690759258433570890,0.00717898235948694060,0.00764469558988195570,0.00834330993564846860,0.00879958806893865740,0.00902961576389421650,0.00905117120987364300,0.00944351324619419060,0.01006301551732929900,0.01026591386912578700,0.01031314146357992200,0.01093216533221808000,0.01109676958517819000,0.01101691464133935900,0.01168660637084090200,0.01150363067632592700,0.01149019985631971600,0.01148629598598088800,0.01184392151934760000,0.01112382296046371400,0.01142003695689086700,0.01132855250126207900,0.01115278697882254900,0.01141918391766227900,0.01133368395562001100,0.01099222240447422800,0.01131916869058130500,0.01178974251966508100,0.01151170224940312200,
PERCENTILE::QCPI_RATE::OCPI_RATE_Percentiles::RATE::%5,1.00000000000000000000,-0.00352576892942560410,-0.00768681258173662880,-0.00902159028119640070,-0.00936919339477276270,-0.01022535021760807200,-0.00954062998358614490,-0.00919017617182450380,-0.00901959879498462870,-0.00857867295434742130,-0.00892611680268856620,-0.00803037547438145010,-0.00796399126290426270,-0.00776769273162935480,-0.00873243541136841520,-0.00834635847061965600,-0.00844926832974446890,-0.00799694278654366520,-0.00828258751479588570,-0.00865567644056050580,-0.00821799956191908080,-0.00774506999868379560,-0.00692276458454857410,-0.00787012605721992140,-0.00789127559489217860,-0.00812280089213201530,-0.00785129741957013050,-0.00840770588866545520,-0.00839992169395870590,-0.00765805562284328520,-0.00746231711684070510,
PERCENTILE::QCPI_RATE::OCPI_RATE_Percentiles::RATE::%50,1.00000000000000000000,0.01497564517081095800,0.01683676555882918100,0.01844262361540982600,0.01960576384553947000,0.02074037968022279800,0.02139877557476166400,0.02163104080335065400,0.02199805069916005400,0.02295347420899795900,0.02282480570143585700,0.02342274195718119200,0.02380281916498916400,0.02411393099363701200,0.02447667176907242200,0.02463660997001349000,0.02474356247310527400,0.02477027733197401100,0.02465463005408274900,0.02499058177429391800,0.02496525079844602600,0.02521722968014261700,0.02523632503578787700,0.02510336077554831100,0.02483381433536424600,0.02528638593445564600,0.02472101735347109800,0.02484839386035320200,0.02499294103591842600,0.02481113690582814600,0.02501252696134515000,
PERCENTILE::QCPI_RATE::OCPI_RATE_Percentiles::RATE::%75,1.00000000000000000000,0.02273097930996137400,0.02686114826173879900,0.02975376483189123800,0.03171902261916720300,0.03330116620933348800,0.03497837519414476200,0.03485036204625391300,0.03549348925812700900,0.03633783769873483200,0.03640643604022847400,0.03665043969180209500,0.03663156655472776800,0.03739522910617121300,0.03793815280888718200,0.03812122045728522100,0.03815195057992809600,0.03837343781476637600,0.03834022937194236900,0.03875246004072519000,0.03872323834923374600,0.03891639546266789700,0.03851221903065721300,0.03839824738393521300,0.03868510124529051000,0.03898483791038548400,0.03902262737614709000,0.03904627350765643700,0.03886678545509009200,0.03858904315243350000,0.03887279337752919100,
PERCENTILE::QCPI_RATE::OCPI_RATE_Percentiles::RATE::%95,1.00000000000000000000,0.03374814272248209700,0.04242199909355185600,0.04689173718917637200,0.04924131233842077300,0.05191471381153659600,0.05332412159308173900,0.05405125113396444500,0.05522762119675857900,0.05657298145850323000,0.05686808549966798600,0.05708194574364085900,0.05731825832499232900,0.05677803597868081400,0.05779177386379998800,0.05775834345475275300,0.05765820151361149300,0.05843347297926650100,0.05856229864267139400,0.05885054104213396900,0.05885549114271421800,0.05916661910113115600,0.05842646166386686300,0.05878003990679572800,0.05805422745560481100,0.05829144262364271300,0.05911629349966114600,0.05953365276251840900,0.05943173044870087700,0.05935539508110207500,0.05885812459456610200,
PERCENTILE::QCPI_RATE::OCPI_RATE_Percentiles::RATE::%99,1.00000000000000000000,0.04218018230587235200,0.05292693015456102800,0.05939353936153445000,0.06169905173574736400,0.06680214252979684000,0.06778445652095160800,0.06807358756339512700,0.06802779744538239900,0.06976823099107386200,0.07110563396774984000,0.06948512221609479100,0.07053427665571865300,0.07094442065329843700,0.07132261085469179800,0.06961433252896534500,0.07227676558589346500,0.07257685568510199900,0.07270106417128925600,0.07254409984351034600,0.07395465615774977900,0.07319563166619808000,0.07412190958685009600,0.07555085458821600400,0.07287455849509944000,0.07309751172857270600,0.07323644712237209500,0.07347436580327014500,0.07300697718648226100,0.07357827958279095100,0.07262548893196479900,
PERCENTILE::QEmergingMarketEquities_TOTALRETURN::OEmergingMarketEquities_TOTALRETURN_Percentiles::TOTALRETURN::%1,0.00000000000000000000,-0.45679714571770186000,-0.45153682912753373000,-0.50357524684336841000,-0.43070693033734692000,-0.47612749830752749000,-0.45244213326207700000,-0.45279531345122281000,-0.48104884832808348000,-0.46571099784942738000,-0.44115328509789975000,-0.47715422497299692000,-0.45662814489307257000,-0.45119344881395262000,-0.47217276331218799000,-0.44711050101077943000,-0.46754797974068385000,-0.45657736759531958000,-0.46018505157545941000,-0.45796970827267863000,-0.45893569084962865000,-0.46086300158723104000,-0.48258012861391697000,-0.47262137777453989000,-0.46574867000945946000,-0.47960538955368087000,-0.45035941640828003000,-0.47926145574843032000,-0.44029255871283035000,-0.44235972672592916000,-0.43300956031036397000,
PERCENTILE::QEmergingMarketEquities_TOTALRETURN::OEmergingMarketEquities_TOTALRETURN_Percentiles::TOTALRETURN::%25,0.00000000000000000000,-0.07441052715175383600,-0.07390734967656453800,-0.05752952111385645200,-0.06056820700298248800,-0.06047676454609249300,-0.05680304488029711000,-0.05145423566163445700,-0.05667079852060907800,-0.05679848439448378900,-0.05576580592127200500,-0.04798150821767374600,-0.04512353400697743900,-0.05295721157616184400,-0.04809738303384053500,-0.04244099934615563900,-0.04717176762605626600,-0.04640874450767140700,-0.04902042867581357700,-0.04955435710368386000,-0.05855555663976364000,-0.04445129941510214700,-0.04960655689519089000,-0.04688483433735640700,-0.04190056677347037100,-0.04873817753193093700,-0.04431152470427932000,-0.05574250809558592400,-0.04033219373119920100,-0.05031602765056697500,-0.04653282378021386700,
PERCENTILE::QEmergingMarketEquities_TOTALRETURN::OEmergingMarketEquities_TOTALRETURN_Percentiles::TOTALRETURN::%5,0.00000000000000000000,-0.26949996987941166000,-0.26593179870894978000,-0.26420415215896975000,-0.26468537128991598000,-0.27017683485438182000,-0.25348158262817294000,-0.25773335281897264000,-0.26443969100581161000,-0.26229107756587416000,-0.26030310052915412000,-0.26815943324971370000,-0.24387798739865146000,-0.25547517255646907000,-0.26033146482759700000,-0.25215801844210722000,-0.25454347217725687000,-0.25913754343797984000,-0.25208004631555680000,-0.25534996796967779000,-0.26373152798010713000,-0.25937067205106235000,-0.25793223337572252000,-0.25539074175048548000,-0.25543054355057165000,-0.26089415805286059000,-0.24682231086846543000,-0.26323381465372914000,-0.24628482289449433000,-0.25087122707331772000,-0.25627123625829989000,
PERCENTILE::QEmergingMarketEquities_TOTALRETURN::OEmergingMarketEquities_TOTALRETURN_Percentiles::TOTALRETURN::%50,0.00000000000000000000,0.07164130168201610100,0.07917816831183399600,0.08855068844386582100,0.08619845570443318600,0.09802353992883006100,0.09506251118418163100,0.09538257839897601500,0.10251439071359458000,0.09588688139080581200,0.10203869286447931000,0.10984910954430160000,0.10043706239093941000,0.09434768696123208000,0.10759884379867102000,0.10620141854364074000,0.10996310677636822000,0.10228036535727902000,0.09924799353823154900,0.10104385654757841000,0.09902214377220031100,0.10030993959375234000,0.10990585408926135000,0.10257863531046341000,0.10819810507724070000,0.10229922903475830000,0.10427613488325904000,0.09125765648334005500,0.10820636955578122000,0.10380066346696926000,0.10822155854079463000,
PERCENTILE::QEmergingMarketEquities_TOTALRETURN::OEmergingMarketEquities_TOTALRETURN_Percentiles::TOTALRETURN::%75,0.00000000000000000000,0.23583036762134979000,0.25176531978702194000,0.25502816827554303000,0.25805844030430281000,0.26766700388612552000,0.26472976590741737000,0.27012250643967300000,0.26446110340588896000,0.27061339650699590000,0.27572324447271490000,0.27906210115417157000,0.26853451452394128000,0.26757143202062494000,0.28141526909457509000,0.27765802185182548000,0.27962119698738125000,0.27099347652912709000,0.27388215340757144000,0.27254621182137428000,0.27083383730004368000,0.27473982210856868000,0.27814535563351861000,0.27581327786991977000,0.28515678148375512000,0.27940035403743402000,0.26819389376982117000,0.27472459109490455000,0.27389177015171645000,0.28247825965721318000,0.27498934363331606000,
PERCENTILE::QEmergingMarketEquities_TOTALRETURN::OEmergingMarketEquities_TOTALRETURN_Percentiles::TOTALRETURN::%95,0.00000000000000000000,0.53901685403038813000,0.55591336724916629000,0.54621363143965207000,0.57770630260278033000,0.56527726806651635000,0.54598302900862261000,0.57388621325538192000,0.56735008052372871000,0.57657277044079480000,0.57150046119152020000,0.56694629426573862000,0.57990290147874124000,0.57989914358712114000,0.58291796453189104000,0.59198257932281528000,0.56604176821228691000,0.57885921960658682000,0.58878633600711150000,0.58351399376203750000,0.58670089351013477000,0.57601645240852795000,0.57283395804381754000,0.57763030010553651000,0.58799747537634872000,0.59540309353656662000,0.58586242235981689000,0.57375331402375007000,0.57333808922740892000,0.60592393773602415000,0.58248510098182860000,
PERCENTILE::QEmergingMarketEquities_TOTALRETURN::OEmergingMarketEquities_TOTALRETURN_Percentiles::TOTALRETURN::%99,0.00000000000000000000,0.82591365150990470000,0.89718179303065848000,0.82194035020457845000,0.87836552803561962000,0.88312071781364443000,0.79364996196239601000,0.89320889630916389000,0.85904692693554541000,0.86978904196751505000,0.92868798129965280000,0.90031016002887743000,0.90578661662580218000,0.89336994005888448000,0.92310834446225243000,0.99006843794831290000,0.81201302182581836000,0.86382570535393688000,0.92835725835849781000,0.93136835766030956000,0.91675329661321436000,0.95311429329586927000,0.92413263911747867000,0.87588323133280443000,0.91616308746946074000,0.90358033300259855000,0.90969917104246656000,0.89996611453911624000,0.86756254740599947000,0.87111469954840104000,0.98813301944281151000,
PERCENTILE::QInternationalAlternatives_TOTALRETURN::OInternationalAlternatives_TOTALRETURN_Percentiles::TOTALRETURN::%1,0.00000000000000000000,-0.24333910738621745000,-0.23801276778548461000,-0.24539654185643697000,-0.23192765637637941000,-0.22269581701095123000,-0.21412960041732304000,-0.24781144753258372000,-0.23234838507991543000,-0.21596329797158106000,-0.22855039895960866000,-0.23326117498894272000,-0.22463643776222919000,-0.21360484249662678000,-0.21015004797307105000,-0.22340186439705070000,-0.21808995253715996000,-0.23030988024432505000,-0.22268168544640768000,-0.21701871473414278000,-0.22194862094085696000,-0.21599598997627176000,-0.21842173811766338000,-0.23767994400655526000,-0.22896156166400053000,-0.22428600565808002000,-0.21295650320794332000,-0.23654396257064350000,-0.24564826027229944000,-0.21647783436830750000,-0.21848358705686108000,
PERCENTILE::QInternationalAlternatives_TOTALRETURN::OInternationalAlternatives_TOTALRETURN_Percentiles::TOTALRETURN::%25,0.00000000000000000000,-0.01590040395376668400,-0.00697132998391414290,-0.00641621380381399150,-0.00461087474853025260,-0.00193161050202447780,-0.00158143943004093730,-0.00202679346159362340,0.00590675113198879660,0.00602268519197618480,0.00553021661084696080,0.00913339934280515960,0.00958576418982581830,0.01030503084562811600,0.01164685623317651700,0.00678296977230802290,0.00759429391667054700,0.00930528321236967490,0.00821381997804016000,0.01170510760010401400,0.01137283557618690200,0.00493930928072777720,0.00778126306240323200,0.01026324572899389700,0.00856980058160122790,0.00930589181057933650,0.01059034571223105300,0.01069606843288817300,0.01212902704890561600,0.01141474531758235300,0.01266722370487621800,
PERCENTILE::QInternationalAlternatives_TOTALRETURN::OInternationalAlternatives_TOTALRETURN_Percentiles::TOTALRETURN::%5,0.00000000000000000000,-0.12949321865554922000,-0.11360544934264438000,-0.12479562934359376000,-0.11438851187054749000,-0.11053018548567792000,-0.10747536949879787000,-0.11211527197651724000,-0.11135702420899796000,-0.10552792930583908000,-0.10515496078142081000,-0.10056877788330404000,-0.10524587697460860000,-0.10272945665853961000,-0.09914029206764409000,-0.10784608114106835000,-0.09669799670965427400,-0.10778004147824545000,-0.10314608367745579000,-0.09676795800105032800,-0.09790025512469849300,-0.10642079020157520000,-0.09901737149736729300,-0.10762124398723875000,-0.10610050817621867000,-0.10063522191322793000,-0.09946652769092048700,-0.10416605504752277000,-0.10513843184744312000,-0.09617610988132135900,-0.09418933011928878900,
PERCENTILE::QInternationalAlternatives_TOTALRETURN::OInternationalAlternatives_TOTALRETURN_Percentiles::TOTALRETURN::%50,0.00000000000000000000,0.05296984159446793700,0.06029280350717392000,0.06655998922495931500,0.06592712067307238100,0.06830724249152875200,0.06957135485911436500,0.06982903713676558200,0.07673690994011228600,0.07833572089465668000,0.07894302097001471000,0.07903618883170116000,0.07878536420254578200,0.07879646710999910200,0.08362527314371304100,0.08038634894749208100,0.07910506835616359900,0.08057264621669002500,0.07971415969304085400,0.08366997674284104600,0.08262611056306079500,0.07999981070396178200,0.08107508006871744200,0.08309515345009632600,0.08377430520510165100,0.08260168574924409100,0.07935522224931035300,0.07990753614108281300,0.08089845620502056400,0.08465005306196649000,0.08397433944608245800,
PERCENTILE::QInternationalAlternatives_TOTALRETURN::OInternationalAlternatives_TOTALRETURN_Percentiles::TOTALRETURN::%75,0.00000000000000000000,0.12406643426355557000,0.13176657243595674000,0.13973129834772752000,0.14084281986602565000,0.14177583579597614000,0.14553533893302567000,0.14253615367756162000,0.15173766093170282000,0.15074629210256790000,0.15432635184235771000,0.15399880651511000000,0.15404780230342063000,0.15584552201383567000,0.16021278793008309000,0.15389233728962587000,0.15547172987647129000,0.15825573157839912000,0.15663954275844899000,0.15750899893529940000,0.15402027138044272000,0.15792718351992485000,0.15376137768992565000,0.15889685855580671000,0.15946848564800259000,0.15586751784572994000,0.15653977415277676000,0.15857982239466711000,0.15550740411474934000,0.15787536151436071000,0.15436147062657513000,
PERCENTILE::QInternationalAlternatives_TOTALRETURN::OInternationalAlternatives_TOTALRETURN_Percentiles::TOTALRETURN::%95,0.00000000000000000000,0.24805612292848750000,0.25598963096293864000,0.26489676848937710000,0.26636210795714033000,0.26954371285253992000,0.27319563794243829000,0.27500408693301276000,0.28176746485088378000,0.27911887812338254000,0.28070612620767238000,0.27830180707234570000,0.28452047129087255000,0.28399948557238536000,0.28528930992299550000,0.28151337985469127000,0.27843036223998852000,0.28708839034302852000,0.28318641753628787000,0.28620627204652516000,0.28636746707294064000,0.28151756499450264000,0.28268201816283128000,0.28522988856120768000,0.29189469002686969000,0.28806086909067258000,0.28400854766007694000,0.28811037977219128000,0.27861515431401895000,0.28323433799937042000,0.28941677949131106000,
PERCENTILE::QInternationalAlternatives_TOTALRETURN::OInternationalAlternatives_TOTALRETURN_Percentiles::TOTALRETURN::%99,0.00000000000000000000,0.40490338559280925000,0.39384394375990145000,0.39112108289134201000,0.42470406003137340000,0.43577164901173315000,0.43038210054002951000,0.43943288947496639000,0.42425750419337205000,0.42868346633210064000,0.44229872321155161000,0.43617111641794248000,0.42909524768381924000,0.41248782858838290000,0.43542208177971015000,0.45930871544164170000,0.44131523131013495000,0.44313882114039788000,0.43271266250031498000,0.43940607902194118000,0.41590123633086884000,0.42424065177713488000,0.43077796647268812000,0.42969114756172316000,0.44178240966276994000,0.44391347707866557000,0.45625386779540206000,0.44373970763585724000,0.40420516502652559000,0.44482680382236839000,0.42481002414805769000,
PERCENTILE::QInternationalFixedInterestGovernmentBonds_TOTALRETURN::OInternationalFixedInterestGovernmentBonds_TOTALRETURN_Percentiles::TOTALRETURN::%1,0.00000000000000000000,-0.07554317416279839000,-0.08038997404398179300,-0.07493466212727262200,-0.07138453256261910500,-0.07582749182721131000,-0.10063710180910061000,-0.07325516844781183900,-0.08215098587189752200,-0.07138738112333925500,-0.06699899286647999200,-0.06572060821243856700,-0.06622057116233648300,-0.05950217579629101000,-0.06506041015148249200,-0.05889117964476076700,-0.06955961262932375300,-0.06329081671504606400,-0.06755438758145901300,-0.08290688464100190400,-0.05977706992802805200,-0.06623220654667584500,-0.06395607850293449900,-0.06603213125103735100,-0.06297267625095147300,-0.07535608895781190100,-0.06774478653005203100,-0.07033703420634293500,-0.07069052211111649700,-0.06353341330448554500,-0.06055538247812539800,
PERCENTILE::QInternationalFixedInterestGovernmentBonds_TOTALRETURN::OInternationalFixedInterestGovernmentBonds_TOTALRETURN_Percentiles::TOTALRETURN::%25,0.00000000000000000000,-0.00390280732740092010,-0.00023965389741029131,0.00397556786217412310,0.00657211704494237160,0.00740613703442749570,0.00884711369901380880,0.01003893866683519500,0.01295592043511367700,0.01554669871297353900,0.01581322084455866200,0.01710873730887707600,0.01517699099982106100,0.01547757351534317900,0.01665849631222626700,0.01674934012389367500,0.01652611154096200700,0.01738680168972789300,0.01736786669756168500,0.01803196996656930600,0.01824946017660789000,0.01794279263074732800,0.01844057401431020700,0.01727917945629770000,0.01788385889821725300,0.01791577163884572300,0.01655823631215674900,0.01814932547014624900,0.01595982569584736300,0.01713372660909917600,0.01680370870262587500,
PERCENTILE::QInternationalFixedInterestGovernmentBonds_TOTALRETURN::OInternationalFixedInterestGovernmentBonds_TOTALRETURN_Percentiles::TOTALRETURN::%5,0.00000000000000000000,-0.04129730659735433200,-0.03767650971590043300,-0.03316602304194347200,-0.03433725872071787000,-0.03312850006026514500,-0.03150162884072933700,-0.03215053740502760900,-0.02725243905800953100,-0.02715745954188571900,-0.02399483822512019800,-0.02285750845360989100,-0.02353676616313177300,-0.02531339867030179100,-0.02348452453920535700,-0.02332221335290768400,-0.02520717193374330200,-0.02530999070404951100,-0.02397228162992918300,-0.02306726173603347200,-0.02140048634439890900,-0.02306589784198789800,-0.02398106307024410300,-0.02429357740673727600,-0.02199717828533098400,-0.02335671239005337700,-0.02420423352556013200,-0.02433763183426578300,-0.02426454530997414200,-0.02449915321344264100,-0.02205831205905036200,
PERCENTILE::QInternationalFixedInterestGovernmentBonds_TOTALRETURN::OInternationalFixedInterestGovernmentBonds_TOTALRETURN_Percentiles::TOTALRETURN::%50,0.00000000000000000000,0.02057742496143222200,0.02371228634336952600,0.03068082966541019200,0.03275083747837359600,0.03421939510131955000,0.03577158180740458400,0.03885551671083253800,0.03949467446241505800,0.04296135658607580500,0.04394876571971495500,0.04447724127831065300,0.04320142981474994800,0.04279810675857209600,0.04482535064253179200,0.04362936678377393700,0.04515220497027772100,0.04507646637204287800,0.04608633518935412200,0.04548233537022439200,0.04612253267088395300,0.04571006238087360600,0.04594826061260159900,0.04566998687216339300,0.04553414664047617000,0.04493861390465681000,0.04435510093209371600,0.04594100044447158000,0.04396310511693579700,0.04539046343964348000,0.04488349973303940000,
PERCENTILE::QInternationalFixedInterestGovernmentBonds_TOTALRETURN::OInternationalFixedInterestGovernmentBonds_TOTALRETURN_Percentiles::TOTALRETURN::%75,0.00000000000000000000,0.04529086890728878400,0.04990654163193120100,0.05743934231379266300,0.05931886068767416900,0.06110562394869556400,0.06358271784195135300,0.06629689991768522600,0.06825628067394701200,0.07050692054065721400,0.07277347767268521600,0.07184460301094264300,0.07279379097617699700,0.07271569323595594700,0.07433220223650860400,0.07162664755111519700,0.07368681659207643200,0.07351930504438253200,0.07393922469485414400,0.07442405972300691900,0.07570149127677533500,0.07370233100559703300,0.07502998106808145300,0.07423977384754093500,0.07394544923558971100,0.07262223476214968400,0.07361680848123541800,0.07397410040837582000,0.07306420730714596700,0.07340447459651361400,0.07413293127440195900,
PERCENTILE::QInternationalFixedInterestGovernmentBonds_TOTALRETURN::OInternationalFixedInterestGovernmentBonds_TOTALRETURN_Percentiles::TOTALRETURN::%95,0.00000000000000000000,0.08106434169057624700,0.08749110031895958300,0.09508658343563788900,0.09876266511699510800,0.10303155826317670000,0.10567633092055735000,0.10935231016641564000,0.11164231055677760000,0.11216723792765193000,0.11740898076184983000,0.11481029311226172000,0.11724116032015086000,0.11616577760824748000,0.11660162395748892000,0.11396823006954242000,0.11702001948138135000,0.11421154966654271000,0.11553360752636097000,0.11550329089900976000,0.11710277399692461000,0.11689085491873619000,0.11764338615643651000,0.11609129640789022000,0.11657797757049902000,0.11516080603696656000,0.11592526592822416000,0.11700969853831614000,0.11647046459229138000,0.11673965286589373000,0.11692944350821605000,
PERCENTILE::QInternationalFixedInterestGovernmentBonds_TOTALRETURN::OInternationalFixedInterestGovernmentBonds_TOTALRETURN_Percentiles::TOTALRETURN::%99,0.00000000000000000000,0.11141984245806813000,0.11688841601120431000,0.12493595881791464000,0.13245720496513128000,0.13402538685159004000,0.13946826496077688000,0.14196946321896015000,0.14611141722749621000,0.14901366295189861000,0.15087242097513828000,0.14242197270164234000,0.14942044550146413000,0.14567493252151720000,0.15234553200480935000,0.15023856948848407000,0.14848977611899217000,0.14961447379461751000,0.14989435082219668000,0.15104862376318612000,0.14809820433114315000,0.15450215381505439000,0.14851742568034343000,0.14853491179714565000,0.15296126086214137000,0.14872164866377907000,0.15324277578078524000,0.15024507165290438000,0.15172748980464387000,0.14901795533224740000,0.15063750819440597000,
PERCENTILE::QInternationalLargeCapEquitiesHedge_TOTALRETURN::OInternationalLargeCapEquitiesHedge_TOTALRETURN_Percentiles::TOTALRETURN::%1,0.00000000000000000000,-0.36667234140802224000,-0.34777841838477352000,-0.34377401997757634000,-0.34869644227053537000,-0.33441520331803848000,-0.32366957957326925000,-0.33974249603166173000,-0.32316970950128948000,-0.35630459646283452000,-0.34656477704476552000,-0.33960041125778667000,-0.32663794588061790000,-0.33366290396007797000,-0.34470416135505083000,-0.34417250450683146000,-0.33510486826937730000,-0.34701196443342447000,-0.34117791471271425000,-0.32474056958910513000,-0.35822481004579937000,-0.35506168301647328000,-0.32943638081134863000,-0.34544629710867653000,-0.33189533228926332000,-0.33433475354482128000,-0.32623979687327409000,-0.32976767998945888000,-0.33402146683025136000,-0.32248886450484371000,-0.34322287009961244000,
PERCENTILE::QInternationalLargeCapEquitiesHedge_TOTALRETURN::OInternationalLargeCapEquitiesHedge_TOTALRETURN_Percentiles::TOTALRETURN::%25,0.00000000000000000000,-0.03739175788139917400,-0.03239412320825982300,-0.02624371928958518800,-0.02153896955216336200,-0.02152913727986599500,-0.02068530658175030100,-0.02391024199023297800,-0.01889029425500077200,-0.01679156841651144300,-0.01587926814595502800,-0.01480286337337069500,-0.01569176682422915300,-0.01566120285657415800,-0.01859595272859285200,-0.01703474629333520700,-0.01364960453324756700,-0.01417385483565217200,-0.01805651812614031400,-0.01265893501445819500,-0.01443002721027938900,-0.01705071341217040400,-0.01505642949461832900,-0.01453273227820806000,-0.01088020510248285900,-0.01775535569598824000,-0.01277908073714184600,-0.01897613178061563500,-0.01963180535691100300,-0.01431075489261951500,-0.01152733903786892800,
