AlwaysSimulateESG,true
InflationAdjusted,false
InflationModel,1100701
PercentileInterpolation,PERCENTILE.EXC
Scenarios,5000
Threads,
effective_date,2016-12-31
name,ESGoutputs_July2016
output_file,c:\Foresight\Results\ESGoutputs_July2016.csv
threads,
time_step_sizes,
time_steps,30
version,1.5.1.7
build_notes,FSCE-308 - Fix spelling error in input parsing. Fri Feb 3 15:16:55 AUSEDT 2017 4446e8aae0193b05001f8989587ec87749ebea1d

Operator Key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,all
PERCENTILE::QAWE_RATE::OAWE_RATE_Percentiles::RATE::%99,1.00000000000000000000,0.04939516942578404300,0.06126621753904851900,0.06831394867825663100,0.07150019147358124800,0.07654088303413050800,0.07775850538294712400,0.08177377579267633400,0.08321658221431851900,0.08460929912043174700,0.08462370436165987700,0.08531574776980092900,0.08568139304697355900,0.08755874282643155700,0.08561731115394356800,0.08682296037544066900,0.08722206918721764300,0.08767297342930231700,0.08865866715789655400,0.08967755191133493200,0.08959355629174325900,0.08895695035833665900,0.09043481137390466100,0.09119345334396504500,0.09077109557461300600,0.08843638235475337300,0.08986101721372469200,0.09015819271378174000,0.08945582244945095300,0.08779356351036327100,0.08835319859822995900,
PERCENTILE::QAustralianCash_TOTALRETURN::OAustralianCash_TOTALRETURN_Percentiles::TOTALRETURN::%1,0.00000000000000000000,0.01553772722417597900,0.00386245256159355000,0.00012470182651201693,-0.00288590899951219950,-0.00574747457935484430,-0.00640598417185289210,-0.00682246298146461750,-0.00340283021443543290,-0.00205720895287135090,-0.00118942017822922570,-0.00155652483313853760,-0.00211818387516163550,-0.00200118856545317090,-0.00068407304330120159,-0.00123190445852597550,-0.00044627909768665949,-0.00207505852735014260,-0.00163570256057287040,-0.00107434742574996200,-0.00046534442296982385,0.00036016658858115428,0.00068777215162416842,0.00088882093686599246,-0.00129439556996330320,-0.00116270786903962670,-0.00110388480926115450,-0.00076125036746863711,-0.00098423060044395497,-0.00183161037979877950,-0.00093691235276158007,
PERCENTILE::QAustralianCash_TOTALRETURN::OAustralianCash_TOTALRETURN_Percentiles::TOTALRETURN::%25,0.00000000000000000000,0.01553772722587487600,0.01550988330003644200,0.01777821204833218700,0.01844513798675512200,0.01885864262962078100,0.01969330787080325600,0.02143527881572010500,0.02347494325685273200,0.02557271628459978400,0.02718102063273764000,0.02717571389769490900,0.02740232747308968300,0.02722618447128244400,0.02750481948764543800,0.02745145490089456700,0.02732008881803216200,0.02771615708093527800,0.02783508102812193300,0.02780033634440176600,0.02806499668190881600,0.02802126019884909600,0.02791204915472245100,0.02792179036834147000,0.02804087028157403700,0.02783762535656481000,0.02805020953065623400,0.02784931647273919400,0.02782938171227994400,0.02791942399192004500,0.02785748612611305100,
PERCENTILE::QAustralianCash_TOTALRETURN::OAustralianCash_TOTALRETURN_Percentiles::TOTALRETURN::%5,0.00000000000000000000,0.01553772722490151000,0.00879904314310106000,0.00730008901117750260,0.00592787697237867700,0.00424135363687447920,0.00388802351270356450,0.00549363787020996660,0.00686878615489344880,0.00884859445906307360,0.00991179341499414180,0.01058872928834080200,0.01023480773662618400,0.00990740940488337230,0.01036335202797870000,0.01062398963185481400,0.01034300685554958600,0.01099113246827311400,0.01055154572600201100,0.01118311670690934700,0.01070753092344183200,0.01090332771348422400,0.01153499241145368100,0.01137543711375295000,0.01129013743347738800,0.01105746369690293600,0.00991447275248751560,0.00976361219621278000,0.01058873235004015500,0.01121559108064023100,0.01045289160944684600,
PERCENTILE::QAustralianCash_TOTALRETURN::OAustralianCash_TOTALRETURN_Percentiles::TOTALRETURN::%50,0.00000000000000000000,0.01553772722656909800,0.02025495016367751000,0.02515944838579087200,0.02746802357418254300,0.02928890173698961400,0.03065473831491694100,0.03287181911745129500,0.03535086058848424500,0.03722007375296232400,0.03945213562051663700,0.03955165235278235200,0.03916048987955733600,0.03903755937197228600,0.03891176071712221200,0.03927925871832349500,0.03920533252341418300,0.03933134771429647200,0.03994632885691451500,0.04003060366914434900,0.04046461040510218600,0.04067361209766029400,0.04019155587858103100,0.04024045598675873900,0.03980091182641809500,0.03990968678933148900,0.04009798003264530800,0.04017885288219624800,0.03995844384262969800,0.03980215654679353200,0.03942052083964175900,
PERCENTILE::QAustralianCash_TOTALRETURN::OAustralianCash_TOTALRETURN_Percentiles::TOTALRETURN::%75,0.00000000000000000000,0.01553772722724072700,0.02498980701307701400,0.03232203854172977000,0.03644545680995070500,0.03891899756540595500,0.04197473217743580300,0.04426868200199773900,0.04686886038026855100,0.04881707218452613400,0.05094678029621208000,0.05126872912153618300,0.05184211493390161700,0.05135487370557123600,0.05159102957296485300,0.05176755593214199500,0.05170370587587297400,0.05168229248755701300,0.05200999808803114000,0.05241460586824930900,0.05234872080207492200,0.05246959593977473800,0.05243945831244972700,0.05250140658548146900,0.05222195624059572400,0.05216320520374245800,0.05244826380688766300,0.05244206589640471000,0.05226730907935817100,0.05183568176299147000,0.05196047618964866300,
PERCENTILE::QAustralianCash_TOTALRETURN::OAustralianCash_TOTALRETURN_Percentiles::TOTALRETURN::%95,0.00000000000000000000,0.01553772722821331600,0.03139933684492961200,0.04288762470007821000,0.05037276908849550000,0.05385405880547352400,0.05754166159790360900,0.06087003363238897800,0.06385013087897187200,0.06621498674952765200,0.06865233452155293500,0.06933429270553155600,0.06949491214809733200,0.06915717923149354600,0.06906975392566587500,0.06952902176496429700,0.06926900792373033600,0.07048955615195795500,0.07036919307139530300,0.07025261024167371600,0.06979964990636128300,0.06974264606725219500,0.07033975940100575800,0.07013696562998524000,0.06988900578371291800,0.07030837130161328400,0.07049588143959582800,0.07034228968005240600,0.07011410067475014300,0.06936819373960512200,0.06992979500724731700,
PERCENTILE::QAustralianCash_TOTALRETURN::OAustralianCash_TOTALRETURN_Percentiles::TOTALRETURN::%99,0.00000000000000000000,0.01553772722885291000,0.03646766665120689000,0.05100651678582220100,0.06003245165208763400,0.06518534523797574200,0.06846525930267330400,0.07280912086228404100,0.07656014940830839500,0.08086226507012477000,0.08238522251450672300,0.08235899466282597900,0.08221029213709260500,0.08280588401916834400,0.08334716933100570800,0.08215334510378424800,0.08308227890694876200,0.08418696069764694500,0.08336924890979492700,0.08283459138005118400,0.08225201268180901100,0.08206288633444310000,0.08093605459234903800,0.08258248321337063900,0.08210591413061141300,0.08148607912657479500,0.08287436316334777200,0.08209402187514969200,0.08171177143430703700,0.08201436750045218400,0.08274156810486102400,
PERCENTILE::QAustralianDirectProperty_TOTALRETURN::OAustralianDirectProperty_TOTALRETURN_Percentiles::TOTALRETURN::%1,0.00000000000000000000,-0.23829368886074820000,-0.24501355925937723000,-0.21264696862980728000,-0.23826562576174309000,-0.23321960126387559000,-0.23585018888399462000,-0.21386629753107725000,-0.22303446860735793000,-0.23361383381062767000,-0.24974974627788260000,-0.23367437540833613000,-0.24005643069591912000,-0.22151805398254068000,-0.23855401758431602000,-0.22141831597547723000,-0.23971568260005419000,-0.20678206585009909000,-0.21758424703761503000,-0.22576913929100478000,-0.20729191947356670000,-0.20686434060515077000,-0.21800893135766550000,-0.21809500176025845000,-0.22870500183848688000,-0.25510232645087855000,-0.22349744707967853000,-0.24029243918252796000,-0.23319897256568661000,-0.20843763050111391000,-0.23711704438900832000,
PERCENTILE::QAustralianDirectProperty_TOTALRETURN::OAustralianDirectProperty_TOTALRETURN_Percentiles::TOTALRETURN::%25,0.00000000000000000000,0.02460010165764064900,0.02992284161595154500,0.03426139984598869400,0.03647018336544571900,0.03806575644247345300,0.04010386710476238100,0.04115564716925407300,0.04383653240010204600,0.04560415042458515500,0.04508374956163518900,0.04701961852868524700,0.04743366031860152300,0.04748005308311825700,0.04807624932734971800,0.04769358332413253800,0.04805190675597353900,0.04675652117498019200,0.04845761038178708600,0.04673297631329098600,0.04791033828506269200,0.04890570746213751500,0.04919974729455428600,0.04766364914655607500,0.04869309578081820700,0.04618493885283597700,0.04703583428566870900,0.04702760785363302400,0.04541126709743181800,0.04783033572749806300,0.04476242192475243800,
